block,timestamp,trader,listingId,tradeType,amount,totalCost,OpenClose,baseIv,callDelta,price,putDelta,skew,vega,netDelta,netStdVega,txHash,strike,expiry,tradeIv,tau
1423152,1640119768,0x4eE575C92E0e65B7EDD88ede11118Ec2526D0129,249,LONG_CALL,1000.0,776.0592532603665,Open,1.21518448,0.27546987791721,19.0795118,-0.72453012208279,0.9859783333333334,0.018265531183758846,5967.263803284336,244.70603589865587,0xddf5134cf5e87fdec2c71052b2898fda526806b20b0a8c4a246627165bfbab98,23,1641542400,1.1981455682829334,1422632
1423400,1640120844,0x6A45c27E47eCb7d51e69839Ac949aA69F8F0f15F,237,LONG_CALL,10.0,31.6845289876665,Close,1.2151678133333332,0.72656327827383,19.19423149,-0.27343672172617,1.0217483333333335,0.01830828030321135,5972.229508584688,244.30854543625676,0x242c239d8c800056d1ca2643b31ea1f50f849ccd2b02a4caf29057ff8bcc7e36,17,1641542400,1.2415956879936445,1421556
1429678,1640143121,0x9c4d592042F959254485d443bBc337d29572264F,293,LONG_CALL,75.0,146.2577733434471,Open,1.20664295,0.85319839156007,19.75937242,-0.14680160843992998,0.9966379833333334,0.00728977985534907,8128.571301270213,320.41619842334313,0x73174cf8c3d82b4d31e2dfbb7a6ee3e480bae75e033bef7f90c556742eb9474f,18,1640332800,1.2025861962913842,189679
1435365,1640163070,0x185541A045ED6FE9fF1142419B647CccBd62a04a,301,LONG_CALL,20.0,14.701134836275846,Close,1.2066096166666667,0.54087692096393,20.097288,-0.45912307903607,1.0032597833333334,0.012112830356927897,8506.977048622888,324.55844333245426,0xda68ac45fe120592fc5f450e9b1dfa289dd50ede3133514553c893440b2fea35,20,1640332800,1.2105429025849166,169730
1436484,1640165167,0x4Ab3D7F4c46E511Ca09eeCDAC483e43ED96bd7Aa,277,LONG_CALL,20.0,15.05417711796624,Open,1.1998858833333332,0.32221437660765,19.8396,-0.6777856233923499,0.9800333333333334,0.020397749152930817,8513.421336155041,324.96639831551283,0x734ddb35c819877d547b709d4dc819b90386cc07c14669c103ca7db7434f441a,22,1640937600,1.1759281618627777,772433
1436490,1640165180,0x4Ab3D7F4c46E511Ca09eeCDAC483e43ED96bd7Aa,273,LONG_CALL,20.0,29.760351817223942,Open,1.1999192166666668,0.5234551185954,19.8396,-0.4765448814046,1.00005,0.022651925564526294,8523.624697332722,325.4179908001444,0x7f4559db6076b5dbd31001423239436300dd14c1f49844ac04e4c3fe168b29cc,20,1640937600,1.1999792126275002,772420
1443792,1640181506,0xdb26a6310710E3f9a4EDECc3072C62D9f08d0341,249,LONG_CALL,29.0,28.928534637444468,Open,1.2152161466666667,0.33464600474588,19.99698,-0.66535399525412,0.9860266666666666,0.020876295408922416,8773.872225616135,327.3729156144959,0x8b94b0c5c1a872026de1eca35c5eefebc7284da6d3e93ca73c1fc7b2681493c2,23,1641542400,1.1982355263772444,1360894
1445457,1640184727,0xdb26a6310710E3f9a4EDECc3072C62D9f08d0341,249,LONG_CALL,16.5,18.484391348668307,Open,1.2152436466666667,0.35464066240297,20.272809849999998,-0.64535933759703,0.9860541666666667,0.021629120347536144,8409.424284306879,312.8403953293149,0x46b143aadfce78922fba69a21971e0d2f461c83d20e1506e1d389d7f78e2c0a6,23,1641542400,1.198296061310861,1357673
1448665,1640191516,0x2C081333bC479BF11c6F205f3b589e43e0402deC,245,SHORT_CALL,32.0,57.53833396907035,Open,1.2151903133333333,0.51290987183121,20.46,-0.48709012816879,0.99993,0.02338849273388744,8392.763382167246,312.0883027683991,0x923c4762832376358406cc7cef299705d9e9e20b40f333dcd4b1c3397c0c711e,21,1641542400,1.2151052500114,1350884
1449783,1640194148,0x6A45c27E47eCb7d51e69839Ac949aA69F8F0f15F,301,LONG_CALL,20.0,16.362757535430756,Close,1.2065762833333333,0.6055933540602301,20.363674380000003,-0.39440664593977,1.00322645,0.010758425149484973,8482.370265472156,310.72801506470273,0x83a280f35add5289aec112d36173320bb7eefb48d3c6a1867e76de6f8a0ce8f2,20,1640332800,1.2104692413826943,138652
1449853,1640194266,0x6A45c27E47eCb7d51e69839Ac949aA69F8F0f15F,301,LONG_PUT,20.0,10.77395269872039,Open,1.2066096166666667,0.60160320334649,20.34677415,-0.39839679665351,1.0032597833333334,0.010778784596960496,8466.677916476878,310.9830040002264,0x31af460895516ed7739ac9005fee61654bbeb39da4de9dc852da8cdf5aa8ec61,20,1640332800,1.2105429025849166,138534
1449922,1640194382,0x6A45c27E47eCb7d51e69839Ac949aA69F8F0f15F,297,LONG_PUT,100.0,23.02284613942325,Open,1.2067762833333333,0.80745863790326,20.29736648,-0.19254136209674,1.0009133333333333,0.007615192141166516,8462.384607736425,311.29206650463533,0x0bcce168066a090e0b0bda7afef38f31b5432a4233c6af05220600d89ee9f287,19,1640332800,1.2078784723387777,138418
1449946,1640194453,0x6A45c27E47eCb7d51e69839Ac949aA69F8F0f15F,253,LONG_CALL,25.0,19.295732533241765,Close,1.2151486466666668,0.28928150649663004,20.24972728,-0.71071849350337,0.9812089666666666,0.01984765503313519,8459.993139424965,311.0358841421893,0xae2f4bc1e38c3a07b0b96ddfea21d0c335e5700a9d0284b711b6b40268615243,24,1641542400,1.1923147479421985,1347947
1450350,1640195652,0x6A45c27E47eCb7d51e69839Ac949aA69F8F0f15F,297,LONG_CALL,10.0,15.330914966909205,Open,1.20679295,0.8121769808936999,20.319673,-0.1878230191063,1.00093,0.007473676122673878,8629.893712642377,313.87629789786905,0x85f520daaea6757f6399ffbb983fd0fdb3dac9fc265e183b5a10357f39d89882,19,1640332800,1.2079152674435003,137148
1452093,1640200729,0x29434C48e28060871f497307D36239e3aaA7cDb0,241,SHORT_PUT,470.0,635.3284910606408,Open,1.2143653133333332,0.64843106893954,20.20599022,-0.35156893106046005,0.9994483333333334,0.021490727645310327,8794.418026144345,303.780985348702,0x0703337a12f06dd46070e8525b7e8b90c377cdd79e10e314c2696e423eb6d9f6,19,1641542400,1.213695388468811,1341671
1454952,1640212611,0x4eE575C92E0e65B7EDD88ede11118Ec2526D0129,237,LONG_CALL,500.0,2005.704297371119,Close,1.21353198,0.80245256473849,20.383176860000003,-0.19754743526151003,1.020915,0.016236817030236654,7888.645527162024,275.8082185544111,0xd0c1539a012bb68ad575b72a268fcbd1640cbbd70367b65b721b1e2a090a80c4,17,1641542400,1.2389130013617,1329789
1454957,1640212958,0x4eE575C92E0e65B7EDD88ede11118Ec2526D0129,249,LONG_CALL,500.0,521.7460698567969,Close,1.2126986466666667,0.35968412562688,20.383176860000003,-0.64031587437312,0.9852208333333333,0.021854801210360535,7751.827727385195,266.4987069661955,0xe82e0e0e2c8aa9d85049d2d6dfd96b6772f9e27141e48d2354e206d186294554,23,1641542400,1.194775971251139,1329442
1461418,1640225984,0x027F0a95786ACDd9f8602d341E095164dC7e12F3,297,LONG_CALL,27.0,44.24359949084921,Open,1.20683795,0.86836491125639,20.5,-0.13163508874361,1.000975,0.005269415645982658,6928.745304670597,234.51438163476695,0x4ee57b23ca9d9c2a8d133e65faf11c3a5828a0b5280723f5c706ffcc12347dc9,19,1640332800,1.2080146170012498,106816
1468173,1640245310,0xa1Cd45953095210477ca7f6d7D0Dad4f48688c45,265,LONG_PUT,100.0,32.780410424067725,Open,1.2000858833333332,0.8612949564524199,20.33709774,-0.13870504354758,1.01987255,0.01289337823573832,7345.94424380769,238.46984900386565,0xb2ce7c55f6b76a5f6db1f7bfd1a6814103b18506c2146944acff87035ea6a9e3,17,1640937600,1.2239346500541692,692290
1468401,1640245611,0xa1Cd45953095210477ca7f6d7D0Dad4f48688c45,237,LONG_PUT,40.0,26.848293270259532,Open,1.2127653133333332,0.8062234856630799,20.41389892,-0.19377651433692,1.0209816666666667,0.016072088936850196,7341.574843059962,238.9901528854158,0xce6648b2f2d097ac68f443f8b8e693db9ddaad0aebdfd5b89947d82ef9fb2421,17,1641542400,1.2382111508825888,1296789
1469335,1640247671,0xfbaa6104cE2321eA98f0ad6C5Ab3D49871bc0f4F,265,SHORT_PUT,17.0,3.4960005214469487,Open,1.20005755,0.8846888786713,20.75,-0.1153111213287,1.0198442166666666,0.011566970099236233,7341.746198890472,238.89494482392712,0xe9ee4d10e99fc3c674cbc6694410374330a080ff0df89216e98eecaba5f0fccf,17,1640937600,1.223871752034669,689929
1470171,1640250343,0x3F0Fbe29803e6aE8BcbA412Ab9019aa690BE3649,265,SHORT_PUT,300.0,68.6470369998799,Open,1.19955755,0.8739534725711,20.54,-0.1260465274289,1.0193442166666666,0.012190607913341804,8704.708053828994,255.639396342808,0x232315b20f412818edbc8c87032cf3c6b87b199c7e82cec75a22a9eb23992ec8,17,1640937600,1.2227620511513357,687257
